,parent_company,facility_name,facility_type,state,primary_fuel,electricity_production_gj,electricity_production_mwh,scope_1_emissions_tco2e,scope_2_emissions_tco2e,total_emissions_tco2e,emission_intensity_t_per_mwh,is_grid_connected,grid_name,notes,source_id,year,latitude,longitude
5138,TOTALENERGIES RENEWABLES AUSTRALIA PTY LTD,Kiamal Solar Farm,F,VIC,Solar,941355.0,261488.0,145.0,4083.0,4228,0.0,On,NEM,,ID0083,2022-23,-35.0181236,142.3029207
5139,TOTALENERGIES RENEWABLES AUSTRALIA PTY LTD,Corporate Total,C,,,941355.0,261488.0,145.0,4083.0,4228,,,,,ID0083,2022-23,,
5140,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,WA,Gas,883063.0,245295.0,137865.0,0.0,137865,0.56,On,SWIS,,ID0083,2022-23,-30.7378489,121.5065039
5141,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,WA,Gas,946726.0,262980.0,146527.0,0.0,146527,0.56,On,SWIS,,ID0083,2022-23,-31.1919739,121.674048
5142,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,WA,Gas,886537.0,246261.0,135634.0,0.0,135634,0.55,Off,Off-grid,,ID0083,2022-23,-27.9971715,120.5132272
5143,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,WA,Gas,1040549.0,289042.0,165136.0,0.0,165136,0.57,Off,Off-grid,,ID0083,2022-23,-27.2138214,120.5501937
5144,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,South Hedland Power Station,F,WA,Gas,1996427.0,554563.0,270158.0,0.0,270158,0.49,On,NWIS,,ID0083,2022-23,-20.4293262,118.5442718
5145,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,,,5753302.0,1598140.0,855320.0,0.0,855320,,,,,ID0083,2022-23,,
5146,VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Tailem Bend Solar farm,F,SA,Solar,585408.0,162613.0,75.0,366.0,441,0.0,On,NEM,,ID0083,2022-23,-35.2710484,139.4877944
5147,VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Corporate Total,C,,,585408.0,162613.0,75.0,366.0,441,,,,,ID0083,2022-23,,
5148,W.H. HECK & SONS PROPRIETARY LIMITED,Rocky Point Sugar Mill Cogeneration,F,QLD,Bagasse,116882.0,32467.0,1439.0,1099.0,2538,0.04,On,NEM,,ID0083,2022-23,-27.7347123,153.3274656
5149,W.H. HECK & SONS PROPRIETARY LIMITED,Corporate Total,C,,,116882.0,32467.0,1439.0,1099.0,2538,,,,,ID0083,2022-23,,
5150,WATER CORPORATION,Cocos Keeling Islands - Home Island Generation,F,WA,Diesel,8199.0,2278.0,1596.0,0.0,1596,0.7,Off,Off-grid,,ID0083,2022-23,,
5151,WATER CORPORATION,Cocos Keeling Islands - West Island Generation,F,WA,Diesel,9476.0,2632.0,2433.0,0.0,2433,0.92,Off,Off-grid,,ID0083,2022-23,,
5152,WATER CORPORATION,Corporate Total,C,,,17675.0,4910.0,4029.0,0.0,4029,,,,,ID0083,2022-23,,
5153,WEST WYALONG HOLDCO 2 PTY LTD,West Wyalong SF,F,NSW,Solar,220541.0,61261.0,234.0,388.0,622,0.0,On,NEM,,ID0083,2022-23,-33.9223568,147.2026202
5154,WEST WYALONG HOLDCO 2 PTY LTD,Corporate Total,C,,,220541.0,61261.0,234.0,388.0,622,,,,,ID0083,2022-23,,
5155,WILD CATTLE HILL PTY LTD,Wild Cattle Hill Wind Farm,F,TAS,Wind,1541736.0,428260.0,110.0,158.0,268,0.0,On,NEM,,ID0083,2022-23,-42.1600367,146.7347749
5156,WILD CATTLE HILL PTY LTD,Corporate Total,C,,,1541736.0,428260.0,110.0,158.0,268,,,,,ID0083,2022-23,,
